Participant,Practice,Block,Trial,OC,VV
0,false,1,0,Medium,ColorShape
0,false,1,1,Low,ColorShape
0,false,1,2,Low,ColorShape
0,false,1,3,Medium,ColorShape
0,false,1,4,Low,ColorShape
0,false,1,5,Low,ColorShape
0,false,1,6,High,ColorShape
0,false,1,7,High,ColorShape
0,false,1,8,Medium,ColorShape
0,false,1,9,Low,ColorShape
0,false,1,10,High,ColorShape
0,false,1,11,High,ColorShape
0,false,1,12,Medium,ColorShape
0,false,1,13,High,ColorShape
0,false,1,14,Medium,ColorShape
0,false,2,0,Low,Color
0,false,2,1,Medium,Color
0,false,2,2,Low,Color
0,false,2,3,Medium,Color
0,false,2,4,High,Color
0,false,2,5,Low,Color
0,false,2,6,Medium,Color
0,false,2,7,High,Color
0,false,2,8,Low,Color
0,false,2,9,Medium,Color
0,false,2,10,High,Color
0,false,2,11,High,Color
0,false,2,12,High,Color
0,false,2,13,Medium,Color
0,false,2,14,Low,Color
0,false,3,0,High,Shape
0,false,3,1,High,Shape
0,false,3,2,Medium,Shape
0,false,3,3,Medium,Shape
0,false,3,4,Medium,Shape
0,false,3,5,Low,Shape
0,false,3,6,Low,Shape
0,false,3,7,Low,Shape
0,false,3,8,Medium,Shape
0,false,3,9,High,Shape
0,false,3,10,Medium,Shape
0,false,3,11,Low,Shape
0,false,3,12,High,Shape
0,false,3,13,Low,Shape
0,false,3,14,High,Shape
1,false,1,0,Medium,Color
1,false,1,1,Low,Color
1,false,1,2,Medium,Color
1,false,1,3,Medium,Color
1,false,1,4,Low,Color
1,false,1,5,Low,Color
1,false,1,6,High,Color
1,false,1,7,Medium,Color
1,false,1,8,Low,Color
1,false,1,9,High,Color
1,false,1,10,High,Color
1,false,1,11,High,Color
1,false,1,12,Low,Color
1,false,1,13,Medium,Color
1,false,1,14,High,Color
1,false,2,0,High,Shape
1,false,2,1,Low,Shape
1,false,2,2,Medium,Shape
1,false,2,3,Low,Shape
1,false,2,4,Low,Shape
1,false,2,5,High,Shape
1,false,2,6,High,Shape
1,false,2,7,Low,Shape
1,false,2,8,Medium,Shape
1,false,2,9,Medium,Shape
1,false,2,10,High,Shape
1,false,2,11,Medium,Shape
1,false,2,12,Low,Shape
1,false,2,13,High,Shape
1,false,2,14,Medium,Shape
1,false,3,0,Low,ColorShape
1,false,3,1,Medium,ColorShape
1,false,3,2,High,ColorShape
1,false,3,3,Low,ColorShape
1,false,3,4,Low,ColorShape
1,false,3,5,High,ColorShape
1,false,3,6,High,ColorShape
1,false,3,7,Medium,ColorShape
1,false,3,8,High,ColorShape
1,false,3,9,Medium,ColorShape
1,false,3,10,Medium,ColorShape
1,false,3,11,Medium,ColorShape
1,false,3,12,Low,ColorShape
1,false,3,13,Low,ColorShape
1,false,3,14,High,ColorShape
2,false,1,0,High,Shape
2,false,1,1,High,Shape
2,false,1,2,Medium,Shape
2,false,1,3,Low,Shape
2,false,1,4,High,Shape
2,false,1,5,Low,Shape
2,false,1,6,Low,Shape
2,false,1,7,Medium,Shape
2,false,1,8,Medium,Shape
2,false,1,9,Medium,Shape
2,false,1,10,Low,Shape
2,false,1,11,High,Shape
2,false,1,12,High,Shape
2,false,1,13,Medium,Shape
2,false,1,14,Low,Shape
2,false,2,0,High,ColorShape
2,false,2,1,Medium,ColorShape
2,false,2,2,Medium,ColorShape
2,false,2,3,Medium,ColorShape
2,false,2,4,Low,ColorShape
2,false,2,5,Medium,ColorShape
2,false,2,6,Low,ColorShape
2,false,2,7,High,ColorShape
2,false,2,8,High,ColorShape
2,false,2,9,Low,ColorShape
2,false,2,10,High,ColorShape
2,false,2,11,Medium,ColorShape
2,false,2,12,Low,ColorShape
2,false,2,13,Low,ColorShape
2,false,2,14,High,ColorShape
2,false,3,0,Medium,Color
2,false,3,1,High,Color
2,false,3,2,Medium,Color
2,false,3,3,High,Color
2,false,3,4,High,Color
2,false,3,5,Low,Color
2,false,3,6,Low,Color
2,false,3,7,Low,Color
2,false,3,8,High,Color
2,false,3,9,High,Color
2,false,3,10,Medium,Color
2,false,3,11,Medium,Color
2,false,3,12,Low,Color
2,false,3,13,Low,Color
2,false,3,14,Medium,Color
3,false,1,0,Medium,ColorShape
3,false,1,1,High,ColorShape
3,false,1,2,High,ColorShape
3,false,1,3,Medium,ColorShape
3,false,1,4,High,ColorShape
3,false,1,5,Low,ColorShape
3,false,1,6,Medium,ColorShape
3,false,1,7,Low,ColorShape
3,false,1,8,Low,ColorShape
3,false,1,9,Medium,ColorShape
3,false,1,10,Medium,ColorShape
3,false,1,11,High,ColorShape
3,false,1,12,Low,ColorShape
3,false,1,13,Low,ColorShape
3,false,1,14,High,ColorShape
3,false,2,0,Low,Color
3,false,2,1,Low,Color
3,false,2,2,High,Color
3,false,2,3,Low,Color
3,false,2,4,Medium,Color
3,false,2,5,Low,Color
3,false,2,6,Medium,Color
3,false,2,7,High,Color
3,false,2,8,Medium,Color
3,false,2,9,High,Color
3,false,2,10,High,Color
3,false,2,11,Low,Color
3,false,2,12,Medium,Color
3,false,2,13,Medium,Color
3,false,2,14,High,Color
3,false,3,0,Medium,Shape
3,false,3,1,Medium,Shape
3,false,3,2,Medium,Shape
3,false,3,3,Low,Shape
3,false,3,4,Low,Shape
3,false,3,5,Medium,Shape
3,false,3,6,High,Shape
3,false,3,7,Low,Shape
3,false,3,8,Low,Shape
3,false,3,9,Low,Shape
3,false,3,10,High,Shape
3,false,3,11,High,Shape
3,false,3,12,Medium,Shape
3,false,3,13,High,Shape
3,false,3,14,High,Shape
4,false,1,0,Medium,Color
4,false,1,1,High,Color
4,false,1,2,High,Color
4,false,1,3,Medium,Color
4,false,1,4,High,Color
4,false,1,5,High,Color
4,false,1,6,Low,Color
4,false,1,7,High,Color
4,false,1,8,Low,Color
4,false,1,9,Low,Color
4,false,1,10,Medium,Color
4,false,1,11,Medium,Color
4,false,1,12,Low,Color
4,false,1,13,Medium,Color
4,false,1,14,Low,Color
4,false,2,0,High,Shape
4,false,2,1,High,Shape
4,false,2,2,Medium,Shape
4,false,2,3,Medium,Shape
4,false,2,4,Low,Shape
4,false,2,5,Low,Shape
4,false,2,6,Medium,Shape
4,false,2,7,High,Shape
4,false,2,8,Medium,Shape
4,false,2,9,Low,Shape
4,false,2,10,Low,Shape
4,false,2,11,Medium,Shape
4,false,2,12,Low,Shape
4,false,2,13,High,Shape
4,false,2,14,High,Shape
4,false,3,0,Medium,ColorShape
4,false,3,1,Medium,ColorShape
4,false,3,2,High,ColorShape
4,false,3,3,High,ColorShape
4,false,3,4,Low,ColorShape
4,false,3,5,High,ColorShape
4,false,3,6,High,ColorShape
4,false,3,7,Medium,ColorShape
4,false,3,8,Low,ColorShape
4,false,3,9,Low,ColorShape
4,false,3,10,High,ColorShape
4,false,3,11,Medium,ColorShape
4,false,3,12,Low,ColorShape
4,false,3,13,Low,ColorShape
4,false,3,14,Medium,ColorShape
5,false,1,0,Low,Shape
5,false,1,1,High,Shape
5,false,1,2,Low,Shape
5,false,1,3,High,Shape
5,false,1,4,Medium,Shape
5,false,1,5,Low,Shape
5,false,1,6,Medium,Shape
5,false,1,7,High,Shape
5,false,1,8,Medium,Shape
5,false,1,9,High,Shape
5,false,1,10,Low,Shape
5,false,1,11,Low,Shape
5,false,1,12,Medium,Shape
5,false,1,13,Medium,Shape
5,false,1,14,High,Shape
5,false,2,0,Low,ColorShape
5,false,2,1,Medium,ColorShape
5,false,2,2,Low,ColorShape
5,false,2,3,High,ColorShape
5,false,2,4,Medium,ColorShape
5,false,2,5,Medium,ColorShape
5,false,2,6,High,ColorShape
5,false,2,7,High,ColorShape
5,false,2,8,Medium,ColorShape
5,false,2,9,Medium,ColorShape
5,false,2,10,High,ColorShape
5,false,2,11,High,ColorShape
5,false,2,12,Low,ColorShape
5,false,2,13,Low,ColorShape
5,false,2,14,Low,ColorShape
5,false,3,0,Medium,Color
5,false,3,1,Medium,Color
5,false,3,2,Low,Color
5,false,3,3,Low,Color
5,false,3,4,High,Color
5,false,3,5,High,Color
5,false,3,6,Low,Color
5,false,3,7,High,Color
5,false,3,8,Low,Color
5,false,3,9,Medium,Color
5,false,3,10,High,Color
5,false,3,11,Medium,Color
5,false,3,12,Medium,Color
5,false,3,13,High,Color
5,false,3,14,Low,Color
